,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK,xG-90,xAG-90,xG+xAG,npxG-90,npxG+xAG-90
1661,Nemanja Matić,rs SRB,MF,Lyon,fr Ligue 1,34,1988,15,15,1254,13.9,0,0,0,0,0,0,2,0,0.3,0.3,0.6,0.9,26,118,17,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
1662,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,31,1991,10,9,781,8.7,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,8,34,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06
1663,Alex Matos,eng ENG,MF,Chelsea,eng Premier League,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1664,Chrislain Matsima,fr FRA,DF,Clermont Foot,fr Ligue 1,21,2002,14,13,1180,13.1,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,13,45,1,0.08,0.00,0.08,0.08,0.08,0.01,0.00,0.01,0.01,0.01
1665,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,21,2002,6,3,298,3.3,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.2,5,31,5,0.00,0.30,0.30,0.00,0.30,0.04,0.02,0.06,0.04,0.06
1666,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,18,2005,8,1,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,3,22,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
1667,Remi Matthews,eng ENG,GK,Crystal Palace,eng Premier League,29,1994,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1668,Alan Matturro,uy URU,DF,Genoa,it Serie A,18,2004,6,1,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
1669,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,25,1998,16,16,1385,15.4,1,0,1,1,0,0,3,0,0.7,0.7,0.7,1.3,12,78,12,0.06,0.00,0.06,0.06,0.06,0.04,0.04,0.09,0.04,0.09
1670,Azor Matusiwa,nl NED,MF,Rennes,fr Ligue 1,25,1998,12,9,794,8.8,0,1,1,0,0,0,2,0,0.3,0.3,0.4,0.7,3,64,12,0.00,0.11,0.11,0.00,0.11,0.04,0.04,0.08,0.04,0.08
1671,Neal Maupay,fr FRA,FW,Brentford,eng Premier League,26,1996,29,13,1321,14.7,6,3,9,6,0,0,8,0,5.7,5.7,2.3,8.1,21,37,91,0.41,0.20,0.61,0.41,0.61,0.39,0.16,0.55,0.39,0.55
1672,Neal Maupay,fr FRA,FW,Everton,eng Premier League,26,1996,2,1,111,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,1,0,6,0.00,0.00,0.00,0.00,0.00,1.16,0.05,1.22,1.16,1.22
1673,Aïman Maurer,ma MAR,"MF,FW",Clermont Foot,fr Ligue 1,18,2004,5,0,56,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,8,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
1674,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,25,1997,19,16,1500,16.7,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,10,38,2,0.06,0.00,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08
1675,Christian Mawissa,fr FRA,DF,Toulouse,fr Ligue 1,18,2005,17,12,1118,12.4,2,0,2,2,0,0,3,0,1.0,1.0,0.3,1.3,26,39,11,0.16,0.00,0.16,0.16,0.16,0.08,0.02,0.10,0.08,0.10
1676,Philipp Max,de GER,DF,Eint Frankfurt,de Bundesliga,29,1993,23,17,1350,15.0,1,2,3,1,0,0,2,0,0.2,0.2,2.8,3.0,25,63,56,0.07,0.13,0.20,0.07,0.20,0.02,0.18,0.20,0.02,0.20
1677,Eric Maxim Choupo-Moting,cm CMR,"MF,FW",Bayern Munich,de Bundesliga,34,1989,27,7,717,8.0,2,2,4,2,0,0,1,0,4.5,4.5,1.8,6.4,23,21,71,0.25,0.25,0.50,0.25,0.50,0.57,0.23,0.80,0.57,0.80
1678,Luís Maximiano,pt POR,GK,Almería,es La Liga,24,1999,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1679,Noam Mayoka-Tika,be BEL,MF,Marseille,fr Ligue 1,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1680,Borja Mayoral,es ESP,FW,Getafe,es La Liga,26,1997,27,25,2153,23.9,15,1,16,11,4,4,2,0,11.9,8.7,1.4,10.1,27,67,100,0.63,0.04,0.67,0.46,0.50,0.50,0.06,0.55,0.36,0.42
1681,Senny Mayulu,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,17,2006,8,3,324,3.6,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,4,11,38,0.00,0.28,0.28,0.00,0.28,0.04,0.13,0.17,0.04,0.17
1682,Youssef Maziz,fr FRA,"FW,MF",Metz,fr Ligue 1,25,1998,2,2,124,1.4,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,6,2,0.73,0.00,0.73,0.73,0.73,0.08,0.04,0.12,0.08,0.12
1683,Noussair Mazraoui,ma MAR,DF,Bayern Munich,de Bundesliga,25,1997,19,15,1197,13.3,0,3,3,0,0,0,3,0,0.9,0.9,1.8,2.6,34,103,79,0.00,0.23,0.23,0.00,0.23,0.07,0.13,0.20,0.07,0.20
1684,Luca Mazzitelli,it ITA,MF,Frosinone,it Serie A,27,1995,29,26,2210,24.6,5,0,5,5,0,0,6,1,2.3,2.3,1.1,3.4,18,167,53,0.20,0.00,0.20,0.20,0.20,0.09,0.05,0.14,0.09,0.14
1685,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,28,1995,18,16,1272,14.1,0,1,1,0,0,0,4,0,0.3,0.3,1.3,1.6,36,36,62,0.00,0.07,0.07,0.00,0.07,0.02,0.09,0.11,0.02,0.11
1686,Pasquale Mazzocchi,it ITA,DF,Napoli,it Serie A,28,1995,10,4,428,4.8,0,1,1,0,0,0,0,1,0.2,0.2,0.2,0.4,14,24,22,0.00,0.21,0.21,0.00,0.21,0.03,0.04,0.08,0.03,0.08
1687,Kevin Mbabu,ch SUI,DF,Augsburg,de Bundesliga,28,1995,25,22,2047,22.7,0,2,2,0,0,0,5,0,0.1,0.1,1.9,2.1,70,84,106,0.00,0.09,0.09,0.00,0.09,0.01,0.09,0.09,0.01,0.09
1688,Noah Mbamba,be BEL,MF,Leverkusen,de Bundesliga,18,2005,3,0,16,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1,2,1,0.00,5.63,5.63,0.00,5.63,0.14,3.16,3.30,0.14,3.30
1689,Ethan Mbappé,fr FRA,"MF,DF",Paris S-G,fr Ligue 1,16,2006,3,0,48,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27
1690,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,24,1998,29,24,2158,24.0,27,7,34,21,6,8,4,0,21.0,14.5,5.7,20.2,114,122,286,1.13,0.29,1.42,0.88,1.17,0.87,0.24,1.11,0.60,0.84
1691,Malick Mbaye,sn SEN,"MF,FW",Metz,fr Ligue 1,19,2004,5,1,153,1.7,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,8,1,20,0.00,0.00,0.00,0.00,0.00,0.26,0.11,0.37,0.26,0.37
1692,Mamadou Mbaye,sn SEN,DF,Cádiz,es La Liga,25,1998,4,2,288,3.2,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0,4,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
1693,Chancel Mbemba,cd COD,DF,Marseille,fr Ligue 1,28,1994,25,25,2207,24.5,2,2,4,2,0,0,1,0,1.8,1.8,1.0,2.8,16,131,10,0.08,0.08,0.16,0.08,0.16,0.07,0.04,0.12,0.07,0.12
1694,Nolan Mbemba,cg CGO,MF,Le Havre,fr Ligue 1,28,1995,6,0,22,0.2,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,4.09,0.00,4.09,4.09,4.09,0.17,0.00,0.17,0.17,0.17
1695,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,23,1999,25,22,1960,21.8,9,6,15,6,3,3,2,0,9.8,7.4,4.6,12.1,74,88,195,0.41,0.28,0.69,0.28,0.55,0.45,0.21,0.66,0.34,0.55
1696,Christ Mbondi,fr FRA,FW,Reims,fr Ligue 1,18,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1697,Jordi Mboula,es ESP,"FW,MF",Hellas Verona,it Serie A,24,1999,11,5,307,3.4,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,10,4,22,0.00,0.29,0.29,0.00,0.29,0.06,0.11,0.17,0.06,0.17
1698,Nathanael Mbuku,fr FRA,FW,Augsburg,de Bundesliga,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.56,0.69,1.25,0.56,1.25
1699,James Mcatee,eng ENG,"MF,FW",Sheffield Utd,eng Premier League,20,2002,30,20,1822,20.2,3,3,6,2,1,1,2,0,3.1,2.3,2.9,5.2,55,51,110,0.15,0.15,0.30,0.10,0.25,0.15,0.15,0.30,0.11,0.26
1700,James Mcatee,eng ENG,MF,Manchester City,eng Premier League,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1701,Oliver McBurnie,sct SCO,FW,Sheffield Utd,eng Premier League,27,1996,21,15,1280,14.2,6,3,9,4,2,2,7,2,6.9,5.3,2.0,7.3,6,30,60,0.42,0.21,0.63,0.28,0.49,0.48,0.14,0.62,0.37,0.51
1702,James McConnell,eng ENG,MF,Liverpool,eng Premier League,18,2004,3,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1703,John McGinn,sct SCO,"MF,FW",Aston Villa,eng Premier League,28,1994,35,35,2999,33.3,6,4,10,6,0,0,9,1,5.0,5.0,4.6,9.6,59,189,84,0.18,0.12,0.30,0.18,0.30,0.15,0.14,0.29,0.15,0.29
1704,Scott McKenna,sct SCO,DF,Nott'ham Forest,eng Premier League,26,1996,5,5,416,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,10,0,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08
1705,Weston McKennie,us USA,"MF,DF",Juventus,it Serie A,24,1998,34,29,2594,28.8,0,7,7,0,0,0,6,0,3.0,3.0,3.9,6.9,64,92,176,0.00,0.24,0.24,0.00,0.24,0.10,0.13,0.24,0.10,0.24
1706,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,23,1999,35,33,2892,32.1,3,6,9,3,0,0,2,0,3.4,3.4,8.8,12.2,80,114,147,0.09,0.19,0.28,0.09,0.28,0.11,0.27,0.38,0.11,0.38
1707,Scott McTominay,sct SCO,"MF,FW",Manchester Utd,eng Premier League,26,1996,32,18,1901,21.1,7,1,8,7,0,0,2,0,5.7,5.7,0.8,6.6,29,64,47,0.33,0.05,0.38,0.33,0.38,0.27,0.04,0.31,0.27,0.31
1708,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,24,1999,31,30,2714,30.2,1,3,4,1,0,0,11,0,1.1,1.1,1.8,2.9,51,219,20,0.03,0.10,0.13,0.03,0.13,0.04,0.06,0.10,0.04,0.10
1709,Ben Mee,eng ENG,DF,Brentford,eng Premier League,33,1989,16,15,1272,14.1,2,0,2,2,0,0,1,1,1.5,1.5,0.3,1.8,11,49,9,0.14,0.00,0.14,0.14,0.14,0.10,0.02,0.13,0.10,0.13
1710,Marvin Mehlem,de GER,MF,Darmstadt 98,de Bundesliga,25,1997,20,19,1482,16.5,3,2,5,3,0,0,3,0,3.8,3.8,1.1,4.9,27,46,73,0.18,0.12,0.30,0.18,0.30,0.23,0.07,0.30,0.23,0.30
1711,Bamo Meïté,ci CIV,DF,Marseille,fr Ligue 1,21,2001,16,6,638,7.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,11,29,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
1712,Bamo Meïté,ci CIV,DF,Lorient,fr Ligue 1,21,2001,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1713,Hannibal Mejbri,tn TUN,"MF,FW",Manchester Utd,eng Premier League,20,2003,5,1,133,1.5,1,0,1,1,0,0,1,0,0.0,0.0,0.4,0.4,2,6,10,0.68,0.00,0.68,0.68,0.68,0.02,0.25,0.27,0.02,0.27
1714,Hannibal Mejbri,tn TUN,MF,Sevilla,es La Liga,20,2003,6,1,104,1.2,0,0,0,0,0,0,2,0,0.0,0.0,0.5,0.5,1,5,6,0.00,0.00,0.00,0.00,0.00,0.01,0.39,0.40,0.01,0.40
1715,Óscar Melendo,es ESP,"MF,FW",Granada,es La Liga,25,1997,26,15,1122,12.5,0,0,0,0,0,0,2,0,0.4,0.4,0.5,0.9,21,38,33,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.07
1716,Gonzalo Melero,es ESP,"MF,FW",Almería,es La Liga,29,1994,28,10,1103,12.3,1,1,2,1,0,0,3,0,2.0,2.0,1.2,3.2,23,49,33,0.08,0.08,0.16,0.08,0.16,0.16,0.10,0.26,0.16,0.26
1717,Birger Meling,no NOR,DF,Rennes,fr Ligue 1,28,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.80,0.80
1718,Arthur Melo,br BRA,MF,Fiorentina,it Serie A,26,1996,33,23,1986,22.1,2,3,5,1,1,1,2,0,1.0,0.3,1.7,2.0,21,133,27,0.09,0.14,0.23,0.05,0.18,0.05,0.08,0.13,0.01,0.09
1719,Memphis,nl NED,FW,Atlético Madrid,es La Liga,29,1994,23,9,893,9.9,5,1,6,5,0,0,2,0,5.8,5.8,1.8,7.6,16,27,82,0.50,0.10,0.60,0.50,0.60,0.58,0.18,0.76,0.58,0.76
1720,Houboulang Mendes,gw GNB,DF,Almería,es La Liga,25,1998,7,4,396,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,9,6,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1721,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,21,2002,6,2,267,3.0,1,1,2,1,0,0,3,0,0.3,0.3,0.4,0.7,12,21,25,0.34,0.34,0.67,0.34,0.67,0.11,0.14,0.25,0.11,0.25
1722,Tomás Mendes,es ESP,MF,Alavés,es La Liga,18,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1723,Brais Méndez,es ESP,"MF,FW",Real Sociedad,es La Liga,26,1997,32,27,2413,26.8,5,6,11,5,0,0,7,0,4.2,4.2,4.2,8.4,45,128,121,0.19,0.22,0.41,0.19,0.41,0.16,0.16,0.31,0.16,0.31
1724,Bruno Méndez,uy URU,DF,Granada,es La Liga,23,1999,17,15,1333,14.8,2,0,2,2,0,0,4,0,0.6,0.6,0.1,0.7,8,47,14,0.14,0.00,0.14,0.14,0.14,0.04,0.01,0.05,0.04,0.05
1725,Diego Méndez,es ESP,MF,Rayo Vallecano,es La Liga,19,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1726,Leonardo Mendicino,it ITA,MF,Atalanta,it Serie A,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1727,Antoine Mendy,fr FRA,DF,Nice,fr Ligue 1,19,2004,10,4,418,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,3,12,6,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10
1728,Benjamin Mendy,fr FRA,DF,Lorient,fr Ligue 1,29,1994,15,7,711,7.9,2,1,3,2,0,0,3,0,1.1,1.1,1.9,3.0,26,34,85,0.25,0.13,0.38,0.25,0.38,0.14,0.24,0.38,0.14,0.38
1729,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,28,1995,23,21,1720,19.1,0,0,0,0,0,0,5,0,0.2,0.2,0.9,1.1,19,84,96,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
1730,Formose Mendy,sn SEN,DF,Lorient,fr Ligue 1,22,2001,18,13,1256,14.0,0,0,0,0,0,0,6,0,0.3,0.3,0.1,0.4,14,61,13,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03
1731,Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,31,1992,16,13,1052,11.7,0,1,1,0,0,0,2,0,0.2,0.2,1.1,1.3,21,84,13,0.00,0.09,0.09,0.00,0.09,0.02,0.09,0.11,0.02,0.11
1732,Teden Mengi,eng ENG,DF,Luton Town,eng Premier League,21,2002,30,28,2469,27.4,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,15,54,1,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03
1733,Chris Mepham,wls WAL,DF,Bournemouth,eng Premier League,25,1997,10,6,617,6.9,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,4,25,1,0.00,0.15,0.15,0.00,0.15,0.01,0.06,0.07,0.01,0.07
1734,Jorge Meré,es ESP,DF,Cádiz,es La Liga,26,1997,10,8,673,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,15,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
1735,Alex Meret,it ITA,GK,Napoli,it Serie A,26,1997,31,31,2773,30.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1736,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,27,1996,32,27,2482,27.6,5,3,8,5,0,0,10,0,3.3,3.3,1.9,5.2,26,163,99,0.18,0.11,0.29,0.18,0.29,0.12,0.07,0.19,0.12,0.19
1737,Quentin Merlin,fr FRA,DF,Marseille,fr Ligue 1,21,2002,10,8,703,7.8,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.3,15,46,56,0.00,0.13,0.13,0.00,0.13,0.02,0.15,0.16,0.02,0.16
1738,Quentin Merlin,fr FRA,DF,Nantes,fr Ligue 1,21,2002,16,15,1283,14.3,0,1,1,0,0,0,0,0,0.7,0.7,1.3,2.0,34,98,62,0.00,0.07,0.07,0.00,0.07,0.05,0.09,0.14,0.05,0.14
1739,Junior Messias,br BRA,"MF,DF",Genoa,it Serie A,32,1991,18,13,1053,11.7,1,0,1,1,0,0,0,0,1.6,1.6,1.3,2.9,35,29,75,0.09,0.00,0.09,0.09,0.09,0.14,0.11,0.25,0.14,0.25
1740,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,31,1991,8,7,586,6.5,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.2,21,33,25,0.00,0.00,0.00,0.00,0.00,0.08,0.10,0.18,0.08,0.18
1741,Bastien Meupiyou,fr FRA,DF,Nantes,fr Ligue 1,17,2006,1,1,8,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1742,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,32,1991,8,7,695,7.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1743,Omenuke Mfulu,cd COD,"MF,FW",Las Palmas,es La Liga,29,1994,5,1,82,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1744,Lucas Michal,fr FRA,FW,Monaco,fr Ligue 1,18,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1745,Sven Michel,de GER,"FW,MF",Augsburg,de Bundesliga,33,1990,22,5,583,6.5,2,1,3,1,1,2,2,0,2.4,0.8,0.8,1.7,6,14,44,0.31,0.15,0.46,0.15,0.31,0.37,0.13,0.50,0.13,0.26
1746,Miguel,es ESP,"FW,MF",Alavés,es La Liga,23,1999,3,1,65,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13
1747,Georges Mikautadze,ge GEO,FW,Metz,fr Ligue 1,22,2000,20,20,1747,19.4,13,4,17,10,3,3,0,1,9.5,7.2,2.4,9.5,52,51,95,0.67,0.21,0.88,0.52,0.72,0.49,0.12,0.61,0.37,0.49
1748,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,25,1997,34,27,2510,27.9,0,0,0,0,0,0,4,0,0.4,0.4,0.7,1.1,8,81,10,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
1749,Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,17,2006,17,14,1202,13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.7,2.9,14,53,54,0.07,0.22,0.30,0.07,0.30,0.09,0.13,0.22,0.09,0.22
1750,Arkadiusz Milik,pl POL,FW,Juventus,it Serie A,29,1994,32,7,919,10.2,4,1,5,4,0,0,2,1,5.1,5.1,2.6,7.7,12,22,49,0.39,0.10,0.49,0.39,0.49,0.50,0.26,0.75,0.50,0.75
1751,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,26,1997,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1752,Éder Militão,br BRA,DF,Real Madrid,es La Liga,25,1998,10,6,496,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,15,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
1753,Luis Milla,es ESP,MF,Getafe,es La Liga,28,1994,27,25,2115,23.5,0,1,1,0,0,0,6,0,0.6,0.6,1.7,2.3,31,121,35,0.00,0.04,0.04,0.00,0.04,0.03,0.07,0.10,0.03,0.10
1754,Enzo Millot,fr FRA,"MF,FW",Stuttgart,de Bundesliga,21,2002,31,27,2241,24.9,5,4,9,4,1,1,5,0,5.3,4.5,3.9,8.4,46,127,167,0.20,0.16,0.36,0.16,0.32,0.21,0.16,0.37,0.18,0.34
1755,James Milner,eng ENG,"DF,MF",Brighton,eng Premier League,37,1986,15,11,773,8.6,0,2,2,0,0,0,3,0,0.3,0.3,1.8,2.0,11,69,73,0.00,0.23,0.23,0.00,0.23,0.03,0.21,0.24,0.03,0.24
1756,Jovan Milošević,rs SRB,"FW,MF",Stuttgart,de Bundesliga,18,2005,5,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1757,Marko Milovanović,rs SRB,"FW,MF",Almería,es La Liga,19,2003,11,2,308,3.4,1,0,1,1,0,0,0,0,1.5,1.5,0.1,1.6,2,3,13,0.29,0.00,0.29,0.29,0.29,0.45,0.03,0.47,0.45,0.47
1758,Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,26,1996,25,22,1970,21.9,1,1,2,1,0,0,3,0,0.8,0.8,0.4,1.2,14,131,3,0.05,0.05,0.09,0.05,0.09,0.04,0.02,0.05,0.04,0.05
1759,Yerry Mina,co COL,"DF,MF",Fiorentina,it Serie A,28,1994,4,0,44,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,1,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
1760,Yerry Mina,co COL,DF,Cagliari,it Serie A,28,1994,14,14,1215,13.5,2,0,2,1,1,1,4,0,1.3,0.5,0.0,0.5,4,23,3,0.15,0.00,0.15,0.07,0.07,0.10,0.00,0.10,0.04,0.04
1761,Takumi Minamino,jp JPN,MF,Monaco,fr Ligue 1,28,1995,30,25,2117,23.5,9,6,15,9,0,0,4,0,5.9,5.9,4.9,10.8,48,97,198,0.38,0.26,0.64,0.38,0.64,0.25,0.21,0.46,0.25,0.46
1762,Lucas Mincarelli,fr FRA,"DF,MF",Montpellier,fr Ligue 1,19,2004,13,12,978,10.9,1,1,2,1,0,0,1,1,0.4,0.4,0.6,0.9,24,26,40,0.09,0.09,0.18,0.09,0.18,0.03,0.05,0.09,0.03,0.09
1763,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,30,1993,1,1,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
1764,Óscar Mingueza,es ESP,"DF,MF",Celta Vigo,es La Liga,24,1999,38,33,2998,33.3,2,2,4,2,0,0,4,0,2.6,2.6,3.9,6.5,74,170,134,0.06,0.06,0.12,0.06,0.12,0.08,0.12,0.20,0.08,0.20
1765,Ignasi Miquel,es ESP,DF,Granada,es La Liga,30,1992,34,33,2992,33.2,1,1,2,1,0,0,5,0,1.4,1.4,1.2,2.5,8,83,8,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08
1766,Rafa Mir,es ESP,"FW,MF",Sevilla,es La Liga,26,1997,15,3,391,4.3,2,0,2,2,0,0,1,0,1.4,1.4,0.3,1.7,3,2,16,0.46,0.00,0.46,0.46,0.46,0.33,0.07,0.39,0.33,0.39
1767,Ignacio Miramon,ar ARG,MF,Lille,fr Ligue 1,20,2003,2,1,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
